what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1384544563917
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384544572680
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384544661994
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384544663044
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1384544665624
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384544666444
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384544681528
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1384544681548
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384544687293
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384544695043
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384544695623
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384544710745
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384544711965
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1384544714446
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384544715156
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384544730029
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1384544730059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384544745977
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384544810854
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384544811705
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1384544813155
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384544838329
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384544907003
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384544912804
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1384544912934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384544913484
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1384544920645
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1384544923495
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384544924065
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384544927705
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1384544927965
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384544933546
executed,command,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.edit.text.java.show.outline",1384544933676
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1384544934796
